year,game_sno,date,opponent,home_away,final_visiting,final_home,lin_li_played,lin_li_role,team_win,team_r,team_pa,team_ab,team_h,team_1b,team_2b,team_3b,team_hr,team_bb,team_ibb,team_hbp,team_sf,team_sac,team_so,team_gidp,team_sb,team_cs
2021,65,2021-04-21,中信兄弟,away,6,3,False,,True,6,37,30,9,7,0,0,2,3,0,1,0,3,5,2,0,0
2021,70,2021-04-23,統一7-ELEVEn獅,away,0,2,False,,False,3,41,38,11,9,2,0,0,3,0,0,0,0,10,0,1,0
2021,72,2021-04-24,統一7-ELEVEn獅,away,5,7,True,非先發,False,2,36,33,5,5,0,0,0,3,0,0,0,0,4,0,1,0
2021,74,2021-04-25,統一7-ELEVEn獅,away,9,0,True,先發,True,7,40,34,11,11,0,0,0,2,0,2,1,1,3,1,0,1
2021,78,2021-04-28,中信兄弟,away,8,2,True,非先發,True,7,43,35,12,10,0,0,2,6,0,0,1,1,7,1,1,0
2021,80,2021-04-29,中信兄弟,away,3,3,True,非先發,False,7,41,37,11,9,0,0,2,4,0,0,0,0,4,1,0,0
2021,81,2021-04-30,中信兄弟,away,0,2,True,先發,False,0,34,33,7,5,2,0,0,1,0,0,0,0,9,1,1,0
2021,83,2021-05-01,味全龍,away,5,7,True,先發,False,5,45,37,11,6,5,0,0,7,0,1,0,0,8,1,1,0
2021,87,2021-05-04,富邦悍將,home,8,6,True,先發,False,6,45,34,12,10,2,0,0,6,0,2,1,2,8,3,1,1
2021,89,2021-05-05,富邦悍將,home,1,2,True,先發,True,2,30,27,6,4,2,0,0,2,0,0,0,1,4,1,1,1
2021,91,2021-05-06,中信兄弟,home,13,4,True,非先發,False,4,39,34,9,8,1,0,0,5,0,0,0,0,6,3,1,0
2021,95,2021-05-08,統一7-ELEVEn獅,home,6,2,True,非先發,False,2,36,35,8,5,2,1,0,1,0,0,0,0,15,0,0,0
2021,97,2021-05-09,味全龍,home,3,2,True,非先發,False,2,36,31,7,4,3,0,0,3,0,0,1,1,2,1,0,0
2021,100,2021-05-11,味全龍,home,9,3,True,先發,False,1,38,32,7,3,3,1,0,4,0,2,0,0,9,2,0,0
